Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity demand,Demand,Demand,TWh,13.3,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Clean,%,28.2,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Fossil,%,71.8,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,25.94,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,1.43,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Renewables,%,1.43,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Wind and Solar,%,0.0,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Clean,TWh,3.75,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Fossil,TWh,9.55,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Gas and Other Fossil,TWh,3.45,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",TWh,0.19,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Renewables,TWh,0.19,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Wind and Solar,TWh,0.0,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Fuel,Bioenergy,%,0.15,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Fuel,Coal,%,45.86,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Fuel,Gas,%,8.65,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Fuel,Hydro,%,1.28,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Fuel,Nuclear,%,26.77,,
Taiwan,TWN,2000-01-01,Country or economy,Asia,Asia,0.0,0.0,0.0,0.0,0.0,Electricity generation,Fuel,Other Fossil,%,17.29,,
