Date,demand_twh,fossil_share_pct,clean_share_pct,co2_intensity_g_per_kwh
2000-01-01,13.3,71.8,28.2,597.74
2000-02-01,11.7,70.34,29.66,578.63
2000-03-01,13.88,74.27,25.72,611.67
2000-04-01,13.84,78.25,21.76,648.84
2000-05-01,15.59,77.3,22.71,638.23
2000-06-01,16.55,75.17,24.83,627.8
2000-07-01,17.68,76.53,23.47,636.88
2000-08-01,17.14,76.66,23.34,637.69
2000-09-01,15.84,78.35,21.65,657.2
2000-10-01,16.27,79.17,20.83,655.19
2000-11-01,14.46,77.93,22.07,650.07
2000-12-01,14.28,73.67,26.33,619.05
2001-01-01,13.11,70.41,29.59,592.68
2001-02-01,12.98,74.72,25.27,624.81
2001-03-01,14.72,79.62,20.37,658.97
2001-04-01,14.61,85.9,14.1,711.84
2001-05-01,15.78,80.49,19.52,679.34
2001-06-01,16.68,75.0,25.0,631.89
2001-07-01,18.0,78.22,21.78,651.11
2001-08-01,18.64,78.17,21.84,645.92
2001-09-01,15.7,78.98,21.02,667.52
2001-10-01,15.49,77.08,22.92,642.35
2001-11-01,14.3,76.51,23.5,649.65
2001-12-01,14.4,77.57,22.44,659.03
2002-01-01,13.94,72.67,27.34,613.34
2002-02-01,12.12,71.13,28.88,601.49
2002-03-01,15.02,76.5,23.5,643.81
2002-04-01,15.86,80.07,19.92,660.78
2002-05-01,17.24,81.03,18.96,674.01
2002-06-01,17.61,78.98,21.01,658.72
2002-07-01,19.01,78.17,21.83,648.61
2002-08-01,19.27,78.77,21.23,655.42
2002-09-01,17.23,79.51,20.49,669.76
2002-10-01,16.89,78.75,21.26,657.79
2002-11-01,15.41,78.78,21.22,658.01
2002-12-01,15.59,79.98,20.01,671.58
2003-01-01,15.14,74.58,25.43,634.74
2003-02-01,13.54,74.15,25.85,628.51
2003-03-01,15.68,79.02,20.99,667.73
2003-04-01,16.19,81.35,18.66,681.29
2003-05-01,17.43,82.27,17.72,689.62
2003-06-01,17.53,78.55,21.45,665.72
2003-07-01,20.7,80.48,19.51,662.32
2003-08-01,20.23,80.17,19.82,660.41
2003-09-01,18.76,81.61,18.39,675.91
2003-10-01,17.47,79.34,20.66,669.72
2003-11-01,16.3,80.31,19.69,672.39
2003-12-01,16.23,78.5,21.51,658.66
2004-01-01,15.28,75.66,24.35,643.33
2004-02-01,15.06,77.22,22.77,656.71
2004-03-01,16.8,78.45,21.54,650.0
