Year,inflation_pct,gdp_per_capita_usd,gdp_growth_pct
1995,3.7,13066.128,6.5
1996,3.1,13588.306,6.2
1997,0.9,13948.722,6.1
1998,1.7,12767.078,4.2
1999,0.2,13752.716,6.7
2000,1.2,14844.238,6.3
2001,0.0,13357.195,-1.4
2002,-0.2,13651.355,5.5
2003,-0.3,14040.597,4.2
2004,1.6,15290.307,7.0
2005,2.3,16427.459,5.4
2006,0.6,16892.883,5.8
2007,1.8,17723.704,6.9
2008,3.5,18053.591,0.8
2009,-0.9,16904.543,-1.6
2010,1.0,19181.358,10.2
2011,1.4,20838.589,3.7
2012,1.9,21256.361,2.2
2013,0.8,21945.46,2.5
2014,1.2,22844.316,4.7
2015,-0.3,22752.991,1.5
2016,1.4,23070.733,2.2
2017,0.6,25102.094,3.7
2018,1.4,25888.836,2.9
2019,0.6,25992.849,3.1
2020,-0.2,28727.743,3.4
2021,2.0,33238.717,6.7
2022,2.9,32909.322,2.7
2023,2.5,32338.714,1.1
2024,2.2,34251.621,5.3
2025,1.7,39488.575,8.7
