Date,t_taipei_c,t_taichung_c,t_kaohsiung_c,t_national_avg_c,cooling_degrees,heating_degrees
2000-01-01,17.7,17.45,21.62,18.923333333333332,0.0,0.0
2000-02-01,17.16,17.04,20.94,18.38,0.0,0.0
2000-03-01,19.86,19.79,22.85,20.833333333333332,0.0,0.0
2000-04-01,21.89,22.79,24.89,23.189999999999998,0.0,0.0
2000-05-01,24.1,24.84,26.66,25.2,1.1999999999999993,0.0
2000-06-01,27.0,26.31,28.3,27.203333333333333,3.203333333333333,0.0
2000-07-01,27.64,26.73,28.77,27.713333333333335,3.7133333333333347,0.0
2000-08-01,27.42,25.91,28.21,27.179999999999996,3.179999999999996,0.0
2000-09-01,25.74,25.08,27.76,26.19333333333333,2.1933333333333316,0.0
2000-10-01,25.03,25.52,27.67,26.073333333333334,2.073333333333334,0.0
2000-11-01,22.24,22.43,25.08,23.25,0.0,0.0
2000-12-01,19.87,19.56,23.38,20.936666666666667,0.0,0.0
2001-01-01,17.78,17.51,22.18,19.15666666666667,0.0,0.0
2001-02-01,18.37,18.8,22.34,19.83666666666667,0.0,0.0
2001-03-01,19.31,20.21,23.18,20.9,0.0,0.0
2001-04-01,21.89,22.79,25.2,23.293333333333333,0.0,0.0
2001-05-01,24.46,25.1,27.2,25.58666666666667,1.5866666666666696,0.0
2001-06-01,27.11,25.96,28.6,27.223333333333333,3.2233333333333327,0.0
2001-07-01,27.82,26.64,28.37,27.61,3.6099999999999994,0.0
2001-08-01,28.4,27.42,29.25,28.356666666666666,4.356666666666666,0.0
2001-09-01,26.17,25.4,27.76,26.44333333333333,2.4433333333333316,0.0
2001-10-01,23.45,23.84,26.28,24.52333333333333,0.5233333333333299,0.0
2001-11-01,20.69,20.45,24.41,21.849999999999998,0.0,0.0
2001-12-01,18.4,18.64,22.66,19.900000000000002,0.0,0.0
2002-01-01,16.63,16.61,21.62,18.286666666666665,0.0,0.0
2002-02-01,17.91,17.88,21.79,19.19333333333333,0.0,0.0
2002-03-01,20.78,21.66,23.48,21.973333333333333,0.0,0.0
2002-04-01,23.55,24.86,25.76,24.723333333333333,0.7233333333333327,0.0
2002-05-01,25.41,25.85,26.92,26.060000000000002,2.0600000000000023,0.0
2002-06-01,27.28,26.11,28.13,27.173333333333332,3.173333333333332,0.0
2002-07-01,27.86,26.79,28.97,27.873333333333335,3.873333333333335,0.0
2002-08-01,27.73,26.74,28.75,27.74,3.7399999999999984,0.0
2002-09-01,26.24,25.68,28.05,26.656666666666666,2.6566666666666663,0.0
2002-10-01,24.32,24.79,27.16,25.423333333333332,1.423333333333332,0.0
2002-11-01,21.15,21.25,24.88,22.426666666666666,0.0,0.0
2002-12-01,19.12,19.33,23.41,20.62,0.0,0.0
2003-01-01,16.27,15.87,21.21,17.783333333333335,0.0,0.216666666666665
2003-02-01,17.87,18.59,22.35,19.603333333333335,0.0,0.0
2003-03-01,18.35,19.73,22.77,20.28333333333333,0.0,0.0
2003-04-01,22.65,24.16,25.56,24.123333333333335,0.12333333333333485,0.0
2003-05-01,24.31,25.81,27.08,25.73333333333333,1.7333333333333307,0.0
2003-06-01,25.9,25.72,27.34,26.319999999999997,2.3199999999999967,0.0
2003-07-01,28.81,28.2,29.07,28.69333333333333,4.693333333333332,0.0
2003-08-01,28.51,27.68,28.89,28.36,4.359999999999999,0.0
2003-09-01,26.93,27.54,28.26,27.576666666666668,3.576666666666668,0.0
2003-10-01,23.91,24.67,26.63,25.069999999999997,1.0699999999999967,0.0
2003-11-01,22.26,23.48,25.2,23.646666666666665,0.0,0.0
2003-12-01,18.13,18.0,22.51,19.546666666666667,0.0,0.0
2004-01-01,16.19,16.46,20.93,17.860000000000003,0.0,0.13999999999999702
2004-02-01,17.95,17.87,21.21,19.01,0.0,0.0
2004-03-01,17.95,19.51,22.25,19.903333333333332,0.0,0.0
2004-04-01,21.31,22.74,25.28,23.11,0.0,0.0
2004-05-01,25.19,26.06,27.39,26.213333333333335,2.2133333333333347,0.0
2004-06-01,25.99,26.88,28.04,26.97,2.969999999999999,0.0
2004-07-01,27.58,26.42,28.5,27.5,3.5,0.0
2004-08-01,27.95,26.79,28.76,27.833333333333332,3.833333333333332,0.0
2004-09-01,26.27,25.37,28.07,26.570000000000004,2.570000000000004,0.0
2004-10-01,22.68,21.93,26.03,23.546666666666667,0.0,0.0
2004-11-01,21.49,22.42,25.22,23.043333333333333,0.0,0.0
2004-12-01,19.01,18.4,22.28,19.896666666666665,0.0,0.0
2005-01-01,16.0,15.66,20.04,17.233333333333334,0.0,0.7666666666666657
2005-02-01,16.87,17.54,21.35,18.586666666666666,0.0,0.0
2005-03-01,17.04,17.27,21.39,18.566666666666666,0.0,0.0
2005-04-01,22.12,22.71,25.22,23.349999999999998,0.0,0.0
2005-05-01,25.24,25.19,27.56,25.996666666666666,1.9966666666666661,0.0
2005-06-01,26.86,25.65,27.98,26.83,2.8299999999999983,0.0
2005-07-01,27.67,26.75,28.48,27.633333333333336,3.6333333333333364,0.0
2005-08-01,27.42,26.43,28.33,27.393333333333334,3.3933333333333344,0.0
2005-09-01,26.59,26.59,28.62,27.266666666666666,3.2666666666666657,0.0
2005-10-01,24.15,24.47,27.07,25.23,1.2300000000000004,0.0
2005-11-01,22.32,22.66,25.41,23.463333333333335,0.0,0.0
2005-12-01,17.33,17.68,21.61,18.87333333333333,0.0,0.0
2006-01-01,17.73,17.66,21.39,18.926666666666666,0.0,0.0
2006-02-01,17.92,19.01,22.32,19.750000000000004,0.0,0.0
2006-03-01,19.01,20.04,22.97,20.673333333333332,0.0,0.0
2006-04-01,22.59,23.27,25.81,23.89,0.0,0.0
2006-05-01,24.89,24.78,27.54,25.736666666666668,1.7366666666666681,0.0
2006-06-01,26.69,25.51,28.35,26.850000000000005,2.850000000000005,0.0
2006-07-01,28.35,27.0,29.15,28.166666666666668,4.166666666666668,0.0
2006-08-01,27.91,26.77,28.76,27.813333333333333,3.8133333333333326,0.0
2006-09-01,26.4,25.72,28.14,26.75333333333333,2.7533333333333303,0.0
2006-10-01,24.54,25.29,27.26,25.69666666666667,1.696666666666669,0.0
2006-11-01,22.42,22.65,26.06,23.709999999999997,0.0,0.0
2006-12-01,18.97,18.97,23.5,20.48,0.0,0.0
2007-01-01,17.26,16.89,21.55,18.566666666666666,0.0,0.0
2007-02-01,19.09,18.74,23.03,20.286666666666665,0.0,0.0
2007-03-01,19.95,20.84,23.77,21.52,0.0,0.0
2007-04-01,20.91,22.14,24.68,22.576666666666664,0.0,0.0
2007-05-01,24.87,25.2,27.29,25.786666666666665,1.7866666666666653,0.0
2007-06-01,26.95,25.96,28.86,27.256666666666664,3.256666666666664,0.0
2007-07-01,28.78,27.28,29.68,28.580000000000002,4.580000000000002,0.0
2007-08-01,27.9,26.64,29.05,27.863333333333333,3.8633333333333333,0.0
2007-09-01,26.57,26.15,28.59,27.103333333333335,3.1033333333333353,0.0
2007-10-01,24.07,24.11,27.05,25.076666666666668,1.076666666666668,0.0
2007-11-01,20.91,21.19,24.9,22.333333333333332,0.0,0.0
2007-12-01,19.22,18.82,23.06,20.366666666666664,0.0,0.0
2008-01-01,17.33,18.13,22.48,19.313333333333333,0.0,0.0
2008-02-01,15.44,15.73,20.4,17.19,0.0,0.8099999999999987
2008-03-01,19.48,20.17,23.29,20.98,0.0,0.0
2008-04-01,21.99,23.68,25.66,23.776666666666667,0.0,0.0
2008-05-01,24.06,25.23,27.03,25.439999999999998,1.4399999999999977,0.0
